Type,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,0,2636247,2739490,2674452
Slow,0,2435915,2451742,2444185
Fast,500,237475,516995,374203
Slow,500,339802,340325,340122
Fast,1000,70083,80091,75477
Slow,1000,336540,361243,352850
Fast,2000,66570,70180,67990
Slow,2000,344325,367431,357470
Fast,10000,68452,71311,69981
Slow,10000,339807,355279,349590
Fast,40001,67892,70637,69136
Slow,40001,330689,355183,345962
