Type,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,0,2881798,3024582,2948564
Slow,0,2385917,2463417,2415916
Fast,500,367676,469209,419095
Slow,500,336194,347875,343063
Fast,1000,366286,473080,416338
Slow,1000,328975,350421,342849
Fast,2000,367836,462304,415774
Slow,2000,324930,357637,343568
Fast,10000,365262,467465,415366
Slow,10000,324796,344642,336208
Fast,40001,364957,461752,411217
Slow,40001,320489,343179,334832
