Type,Interval,Min Time (us),Max Time (us),Avg Time (us)
Fast,0,2890849,3015752,2935139
Slow,0,2350115,2381707,2366986
Fast,500,374020,475550,425046
Slow,500,321167,371428,354182
Fast,1000,371313,464909,418122
Slow,1000,328707,351842,342105
Fast,2000,375587,464027,417822
Slow,2000,330081,344628,339580
Fast,10000,365884,467653,415825
Slow,10000,322358,345811,337308
Fast,40001,368442,458308,412864
Slow,40001,316665,341708,333323
